date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-04-27,AD,41349,153,,300307,0.0037002104041210186,
2022-04-28,AE,897770,2302,,155620890,0.0025641311248983593,
2022-04-27,AF,178769,7683,,904055,0.04297724997063249,
2022-05-02,AF_BAL,8075,579,7638,,0.07170278637770898,0.9458823529411765
2022-05-02,AF_BAM,3463,52,3402,,0.015015882183078255,0.982385215131389
2022-05-02,AF_BDG,2014,31,1858,,0.015392254220456803,0.9225422045680238
2022-05-02,AF_BDS,3934,88,3895,,0.022369089984748347,0.9900864260294865
2022-05-02,AF_BGL,4259,99,4138,,0.02324489316741019,0.9715895750176098
2020-07-19,AF_DAY,469,3,101,,0.006396588486140725,0.21535181236673773
2022-05-02,AF_FRA,2603,164,1674,,0.06300422589320015,0.6431041106415675
2022-05-02,AF_FYB,2227,144,1802,,0.06466097889537495,0.8091603053435115
2022-05-02,AF_GHA,4721,158,4151,,0.03346748570218174,0.8792628680364329
2022-05-02,AF_GHO,3653,60,3064,,0.01642485628250753,0.8387626608267178
2022-05-02,AF_HEL,3867,166,3565,,0.042927333850530124,0.921903284199638
2020-07-19,AF_HER,5296,160,3751,,0.030211480362537766,0.7082703927492447
2020-07-19,AF_JOW,196,6,188,,0.030612244897959183,0.9591836734693877
2022-05-02,AF_KAB,30218,2312,28691,,0.07651068899331524,0.949467204977166
2022-05-02,AF_KAN,10636,256,10860,,0.024069198946972545,1.0210605490786009
2022-05-02,AF_KAP,3818,89,3182,,0.023310633839706652,0.8334206390780513
2022-05-02,AF_KDZ,4863,221,4491,,0.045445198437178695,0.9235040098704503
2022-05-02,AF_KHO,1910,258,1578,,0.13507853403141362,0.8261780104712042
2022-05-02,AF_KNR,2429,105,2304,,0.043227665706051875,0.9485384932070811
2022-05-02,AF_LAG,2704,188,2458,,0.0695266272189349,0.9090236686390533
2022-05-02,AF_LOG,2952,96,2549,,0.032520325203252036,0.8634823848238482
2022-05-02,AF_NAN,14002,528,13303,,0.037708898728753035,0.9500785602056849
2020-07-19,AF_NIM,374,8,314,,0.0213903743315508,0.839572192513369
2020-07-19,AF_NUR,75,0,17,,0.0,0.22666666666666666
2020-07-19,AF_PAN,285,16,208,,0.056140350877192984,0.7298245614035088
2022-05-02,AF_PAR,3385,46,2852,,0.013589364844903988,0.8425406203840473
2020-07-19,AF_PIA,1168,34,592,,0.02910958904109589,0.5068493150684932
2022-05-02,AF_PKA,1486,53,1286,,0.03566621803499327,0.8654104979811574
2022-05-02,AF_SAM,1455,73,1264,,0.05017182130584193,0.8687285223367698
2020-07-19,AF_SAR,130,6,124,,0.046153846153846156,0.9538461538461539
2022-05-02,AF_TAK,5802,233,5293,,0.0401585660117201,0.9122716304722509
2022-05-02,AF_URU,799,20,467,,0.025031289111389236,0.5844806007509387
2022-05-02,AF_WAR,4992,215,4760,,0.043068910256410256,0.9535256410256411
2022-05-02,AF_ZAB,2842,80,2094,,0.028149190710767064,0.7368050668543279
2022-04-27,AG,7604,136,,16700,0.01788532351394003,
2022-04-27,AI,2788,9,,51382,0.0032281205164992827,
2022-04-27,AL,275002,3496,,1605530,0.01271263481720133,
2022-04-27,AM,422865,8622,,3049532,0.020389486006172183,
2022-04-27,AO,99287,1900,,1499795,0.01913644283743088,
2022-05-01,AR,9072004,128659,,27672939,0.014181982283076594,
2022-04-30,AR_A,156744,3438,,428518,0.021933853927423058,
2022-04-28,AR_A_007,6679,135,,15790,0.020212606677646353,
2022-04-26,AR_A_014,1418,23,,3150,0.01622002820874471,
2022-04-26,AR_A_021,2902,71,,6955,0.02446588559614059,
2022-04-30,AR_A_028,81719,1547,,218991,0.018930726024547536,
2022-04-30,AR_A_035,5475,101,,13477,0.018447488584474887,
2022-04-30,AR_A_042,2986,70,,7220,0.02344273275284662,
